question_id,category_id,question_name,description,answer,image,hint,made_date,ques_concept,scoring_keyword,ml_model_check,upload_check
11,3,신라의 삼국통일,신라는 당나라와 연합하여 백제와 고구려를 차례로 멸망시키고 삼국을 통일하였습니다. 신라가 통일을 이룬 당시 한반도의 모습은 그림과 같습니다. 신라의 삼국통일이 가지는 의의와 한계는 각각 무엇일까요?,(의의) 삼국의 문화를 모아 하나의 민족 문화로 발전시킬 수 있는 토대를 마련하였다. 한반도에서 최초로 통일을 이루었다. (한계) 당나라의 힘을 빌려 통일을 했기 때문에 고구려의 영토 대부분을 잃게 되었다. 한반도 전체가 아닌 일부만을 통일하였다.,question/image/question_11.png,"원래 고구려, 백제, 신라로 나뉘어 있었을 때와 통일이 되었을 때의 영토는 어떤 차이가 있을까요?",2020-08-06,"신라의 삼국 통일로 민족 문화 발전의 계기가 마련되었지만, 통일 국가의 영토는 크게 축소되었다.",,1,1
12,4,하늘로 떠오르는 연등,은서는 지역 축제에 참가했다가 수많은 연등이 하늘로 떠오르는 것을 보았습니다. 은서도 등 안에 불을 붙이고 손을 놓았더니 밝은 연등이 점차 하늘로 떠올라 밤하늘로 사라졌습니다. 왜 연등에 불을 켜면 하늘로 올라가게 되는 것일까요? 온도에 따른 기체의 특성을 생각하며 설명해보세요.,"연등 안에 불을 켜면 연등 내부의 공기 온도가 높아진다. 온도가 높아지면 기체 분자의 운동이 활발해지고, 기체의 밀도가 낮아진다. 주변보다 밀도가 낮은 기체는 위로 떠오르게 된다.",question/image/question_12.png,공기의 온도가 상승하면 분자의 운동이 바뀝니다. 공기의 온도가 상승하면 밀도는 어떻게 바뀔까요?,2020-08-06,공기의 온도가 상승하면 분자의 운동이 활발해진다. 이에 따라 공기의 밀도가 낮아진다.,,1,1
13,4,에어캡으로 실내온도 유지하기,겨울철 실내를 따뜻하게 유지하는 여러 가지 방법이 있습니다. 그 중 간편한 방법으로는 창문에 에어캡(뽁뽁이)를 붙이는 방법이 있습니다. 에어캡을 붙였을 때 실내 온도가 따뜻하게 유지되는 이유는 무엇일까요? 열의 특징에 관한 지식을 활용하여 자세하게 설명해 봅시다.,에어캡 안에 들어 있는 공기가 열의 이동을 막아 실내 온도를 높게 유지시킨다.,question/image/question_13.png,에어캡을 채우고 있는 물질은 어떤 역할을 하는지 조금 더 생각을 발전시켜 볼까요?,2020-08-06,"대류, 전도, 복사에 의한 열의 이동을 막는 것을 단열이라고 하며, 공기도 단열의 재료가 될 수 있다. ",,1,1
14,4,입자의 끊임없는 운동,시연이는 과학 시간에 선생님께서 입자의 운동에 대해 설명하시는 것을 들었습니다. 물질을 이루는 입자는 정지해 있는 것이 아니라 끊임 없이 운동하고 있다는 내용이었습니다. 시연이는 우리 주변에서 입자의 운동으로 인해 일어나는 자연 현상들이 무엇이 있을지 생각해보기로 했습니다. 입자의 운동에 관한 지식을 활용하여 이를 자세하게 설명해봅시다.,"입자의 운동으로 인해 물질의 상태 변화가 일어난다. 대표적인 물질의 상태 변화로는 증발이 있다. 물질의 상태 변화가 아니더라도, 기체의 확산은 입자의 운동 때문에 일어난다. 기압 자체도 입자의 운동 때문에 존재하는 것이다.",question/image/question_14.png,입자의 운동을 우선 물질의 상태와 연관 지어 이해할 수 있습니다. 그 다음으로 물질의 상태 변화와 관계 없는 입자의 운동을 생각해볼 수 있습니다.,2020-08-06,입자의 운동으로 인해 물질의 상태 변화가 일어난다. 대표적인 물질의 상태 변화로는 증발이 있다. 한편 기체 상태에서는 확산 현상이 입자의 운동으로 나타난다. 기체의 압력 자체도 입자의 운동으로 인해 존재한다.,,1,1
15,4,산과 염기가 만날 때,"pH 종이를 이용하면 용액이 산성을 띠는지 염기성을 띠는지 확인할 수 있습니다. 민수는 실험을 하던 도중 산성 용액에 염기성 용액을 떨어뜨릴수록 산성이 점점 약해지고, 반대로 염기성 용액에 산성 용액을 떨어뜨릴수록 염기성이 점점 약해지는 것을 관찰하였습니다. 민수는 산과 염기가 만나면 각각의 성질이 약해진다고 생각하게 되었습니다. 그렇다면 산과 염기가 만나면 왜 각각의 성질이 약해지는 것일까요?","서로 상반되는 성질을 지닌 산과 염기가 만나면, 산성과 염기성을 띠는 물질(입자)이 서로 짝을 맞추어 반응하면서(중화반응) 각각의 성질을 잃어버리기 때문이다.",question/image/question_15.png,산과 염기가 만나면 어떤 일이 벌어질까요? 산과 염기는 만나는 비율은 어떠할까요?,2020-08-06,산과 염기는 서로 상반되는 성질을 지닌다. 산과 염기가 만나면 산성과 염기성을 띠는 물질(입자)이 서로 짝을 맞추어 반응한다.(중화반응) 이 반응의 결과로 각각의 성질을 잃어버리게 된다.,,1,1
16,3,정보 사회의 문제점,"오늘날 우리 사회는 정보 사회로 불립니다. 정보 사회는 정보 통신 기술의 발달과 함께 정보의 가치가 매우 중요하게 여겨지는 사회입니다. 정보 사회는 우리 생활을 매우 편리하게 해 주지만, 다른 한편으로 많은 문제점도 가져옵니다. 정보 사회에서 나타나는 문제점에는 어떤 것이 있을까요?","정보 기기 중독(휴대폰, 인터넷, 게임 중독 등), 정보 기기에 대한 높은 의존도, 면대면 대인관계 약화, 사생활 침해(개인 정보 유출 등), 사이버 범죄(악성 댓글, 사이버 폭력 등), 거짓 정보(가짜 뉴스 등) 유포, 저작권 침해, 정보 격차(정보 불평등) 등",question/image/question_16.png,우리가 평소에 많이 사용하는 스마트폰이나 인터넷과 관련된 문제점을 떠올려 봅시다.,2020-08-06,정보 사회는 긍정적인 측면과 부정적인 측면을 모두 가지고 있다.,,1,1
17,4,멸종위기에 처한 생물들,"2019년 5월 전세계 132개국이 참여하는 생물다양성과학기구(IPBES)에서는 지구상의 동식물 100만종이 멸종 위기에 빠졌다는 조사 결과를 담은 보고서를 발표하였습니다. 이 보고서는 “현재 지구에는 800만종의 생물이 사는 것으로 추정되는데, 멸종 속도가 과거 1000만년 평균보다 수십 배나 빠르고 가속화되고 있다”고 지적했습니다. 최근 들어 이렇게 지구상에서의 멸종위기 종이 많아지고 그 속도도 빨라지는 이유는 무엇일까요? 생물에 관한 지식을 활용하여 자세하게 설명하여 봅시다.",인간활동에 의한 환경파괴와 기후변화로 인해 생물들의 서식지가 파괴되어 생물들이 안좋은 영향을 받기 때문이다. ,question/image/question_17.png,최근 극지방의 빙하가 빠른 속도로 녹으며 북극 생물들이 살 곳을 잃어가고 있다고 합니다. 또한 아마존에서는 지나친 도로 공사로 열대우림이 점점 파괴되고 있다고 합니다. 그 이유를 중심으로 생각해볼까요? 대부분의 자연 파괴는 누구에 의하여 생기는지 생각해 볼까요?,2020-08-06,인간활동으로 인한 환경오염과 기후변화로 생물들의 서식지가 파괴되고 생물다양성이 위협되고 있다. ,,1,1
18,6,고려의 경제와 문화,다음 자료를 통해 알 수 있는 고려 시대의 경제와 문화의 특징을 각각 쓰시오.,(경제의 특징) 다른 나라와 활발하게 무역을 하면서 발전하였다.  (문화의 특징) 전국적으로 불교 문화가 크게 발달하였다.,question/image/question_18.png,"다른 나라와 물건을 사고 파는 것을 무엇이라고 할까요? 절, 불상, 석탑, 연등회, 팔관회 등은 어떤 종교와 관련이 있을까요?",2020-08-06,고려 시대에는 대외 무역과 불교가 크게 발전하였다.,,1,1
19,4,센 전자석 만들기,철심에 에나멜선을 여러 번 감아 전기회로와 연결하여 그림과 같이 전자석을 만들고자 합니다. 에나멜선의 감은 수를 변화시키지 않고 더 강한 전자석을 만드려면 어떻게 해야 할까요? (필요한 것이 있으면 전기회로에 추가할 수 있습니다.),전자석은 전류가 흐르면 전선 주위에 자석의 성질이 나타나는 것을 이용하여 만든 자석이다. 그러므로 전지를 직렬로 더 연결하여 에나멜선에 흐르는 전류의 세기를 세게 하면 된다.,question/image/question_19.png,전자석은 전류가 흐르는 전선 주위에 자석의 성질이 나타나는 것을 이용해 만든 자석입니다. 전기회로에 흐르는 전류의 세기와 관련지어 조금 더 생각을 발전시켜 볼까요?,2020-08-06,전지를 직렬로 연결하면 더 많은 전류가 흐른다. ,,1,1
20,4,스스로 붙는 불,"뉴스에서 산불 소식을 전하고 있습니다. 산불은 때로는 사람에 의해 발생하기도 하지만, 이번 산불은 자연적으로 발생했다고 합니다. 이처럼 어떤 때에는 누군가 불을 붙이지 않아도 불이 발생하기도 합니다. 어떻게 이렇게 스스로 불이 날 수 있는 것일까요? 불이 붙는 조건에 대한 지식을 활용하여 설명해봅시다.","산에서 햇빛이나 나뭇가지들 사이의 마찰로 열이 발생하고, 이로 인해 온도가 발화점 이상으로 높아지면 스스로 불이 붙을 수 있다.",question/image/question_20.png,불이 붙는 조건은 온도와 관련이 있습니다.,2020-08-06,불이 붙기 위해서는(연소반응이 시작되기 위해서는) 발화점 이상의 온도가 필요하다.,,1,1
21,4,화재와 스프링클러,건물마다 천장에 스프링클러가 설치된 경우가 많습니다. 스프링클러는 화재 발생 시에 물을 뿌려서 불을 끄는 역할을 합니다. 물이 불을 끄는 데 효과적이기 때문입니다. 그렇다면 불이 났을 때 물을 뿌려서 불을 끌 수 있는 이유는 무엇일까요?,스프링클러로 물을 뿌리면 온도가 내려가기 때문에 불이 꺼지게 된다. 그리고 순간적으로 발생하는 수증기가 산소를 차단하여 불이 꺼지게 된다.,question/image/question_21.png,불이 계속 붙기 위해서 필요한 조건을 생각해봅시다.,2020-08-06,"불이 계속 붙기 위해서는 적절한 온도가 유지되어야 하고, 산소가 계속 공급되어야 한다.",,1,1
22,3,"참정권, 평등권","(가), (나)에서 각각 강조되고 있는 기본권은 무엇인가요? (가) 철수씨는 국회의원을 뽑는 선거에 참여하여 소중한 한 표를 행사하였다. 다음 선거에서는 자신이 직접 출마하여 나라의 일을 맡아서 하고자 하는 꿈을 가지고 있다. (나) 영희씨는 회사에 취직할 때 나이가 어리다는 이유로 부당한 대우를 받았다고 판단하여 문제를 제기하였다. 영희씨는 나이, 성별, 재산 등에 상관없이 어느 누구도 차별받지 않아야 한다고 말했다.",(가) 참정권 (정치에 참여할 권리) (나) 평등권 (누구나 평등한 대우를 받을 권리),question/image/question_22.png,투표를 하거나 선거에 출마하는 것은 무엇과 관계가 깊을까요? 차별의 반대말은 무엇일까요?,2020-08-06,"우리나라 헌법에서는 평등권, 자유권, 참정권, 사회권, 청구권 등을 기본권으로 보장하고 있다.",,1,1
23,3,삼심제를 두는 이유,"철수씨는 회사 일로 자동차를 몰고 출장을 가던 중 교통사고를 당해 더 이상 회사를 다닐 수 없게 되었습니다. 철수씨는 회사 일을 하러 가다가 다친 것이니 회사에서 충분한 보상을 해주기를 바랐지만 회사는 운전 부주의로 일어난 사고라는 이유로 병원비 외에는 아무것도 보상해 주지 않았습니다. 이를 억울하게 여긴 철수씨는 회사를 상대로 소송을 벌였습니다. 첫 번째 재판에서는 철수씨가 졌지만, 두 번째, 세 번째 재판에서는 철수씨가 이겨 철수씨는 회사로부터 보상을 받게 되었습니다. 이처럼 우리나라에서는 세 번까지 재판을 받을 수 있도록 하고 있는데 그 이유는 무엇일까요?",공정한 재판을 위해서이다. 잘못된 판결로 인해 억울한 사람이 생기지 않도록 하기 위해서이다.,question/image/question_23.png,어떤 사건에 대해 재판을 단 한 번만 할 수 있다면 어떤 일이 생길 수 있을까요?,2020-08-06,같은 사건을 서로 다른 재판부에서 판결함으로써 공정성을 높일 수 있다.,,1,1
24,3,삼권 분립,"우리나라 헌법에서는 국가 권력을 입법부, 행정부, 사법부 세 곳으로 각각 나누어 놓고 있습니다. 이를 권력분립(삼권분립)이라고 합니다. 삼권분립 원리에 따라 입법부, 행정부, 사법부는 각각 어떤 일을 하는지 적어 보세요.",입법부는 국가 운영에 필요한 법을 만든다. 행정부는 법을 집행하여 나라의 살림을 이끌어 간다. 사법부는 법을 적용하여 재판을 한다.,question/image/question_24.png,"입법부는 국회를, 행정부는 정부를, 사법부는 법원을 가리킵니다. 국회, 정부, 법원이 하는 일은 무엇일까요?",2020-08-06,"우리나라는 권력 분립의 원리에 따라 국가 권력을 입법부, 행정부, 사법부로 나누어 놓았다.",,1,1
25,3,국가권력을 나누어 놓은 이유,"우리나라는 국가 권력을 세 기관이 나누어 가지도록 하고 있습니다. 이에 따라 국회에서는 법을 만들고, 정부에서는 그 법을 집행하여 나라 살림을 하고, 법원에서는 그 법을 적용하여 재판을 합니다. 이처럼 국가 권력을 셋으로 나누어 놓은 이유는 무엇일까요?","어느 한 기관이 국가 권력을 독점하는 것을 막기 위해서, 국가 권력이 어느 한 곳에 집중되는 것을 막기 위해서, 국가 기관 간에 서로 견제할 수 있도록 하기 위해서, 국가 기관이 여러 기관 간에 균형을 이룰 수 있도록 하기 위해서, 국민의 기본권을 보장하기 위해서, 국민의 자유과 권리를 보호하기 위해서, 민주주의의 이념을 잘 실현하기 위해서, 국가의 일을 효율적으로 하기 위해서",question/image/question_25.png,국가권력을 어느 한 기관이 독차지하면 어떤 일이 발생할까요?,2020-08-06,권력 분립을 통해 민주주의의 이념과 가치를 더 잘 실현할 수 있다.,,1,1
26,4,주스 가루 녹이기,종원이는 맛있는 망고 주스 가루를 선물 받았습니다. 달콤하고 진한 주스를 만들려고 커다란 컵에 주스 가루를 듬뿍 넣고 물을 넣었습니다. 그랬더니 주스 가루가 다 녹지 않고 밑에 가라앉았습니다. 어떻게 하면 가라앉은 주스가루도 다 녹일 수 있을까요? 여러 가지 과학적 원리를 활용하여 방법을 생각해 봅시다.,"물을 가열하여 온도를 높이거나, 물을 더 부어주면 남은 주스 가루를 더 녹일 수 있다.",question/image/question_26.png,물의 온도와 연관 지어 생각해봅시다. 물의 양과 연관 지어 생각해봅시다.,2020-08-06,용매의 온도가 높을수록 용질은 용매에 잘 녹는다(용매의 온도 증가) 용매의 양이 많을수록 용질이 많이 녹는다(용매의 양).,,1,1
27,4,김장과 소금물,"김장을 위해서 준서는 올해도 어머니를 도와 배추를 절일 소금물을 만들었습니다. 큰 통에 물을 담고 소금을 한 봉지 넣었습니다. 물을 저어 녹이는데, 바닥에 녹지 않은 소금이 많이 보였습니다. 소금이 아까웠지만 다시 걸러 낼 수도 없었습니다. 어떻게 하면 녹지 않은 소금을 다 녹일 수 있을지 과학적으로 설명해 볼까요?","가라앉은 소금을 녹이기 위해서는 물의 온도를 높이거나, 더 많은 물을 넣으면 된다.",question/image/question_27.png,물의 온도와 연관 지어 생각해봅시다. 물의 양과 연관 지어 생각해봅시다.,2020-08-06,용매의 온도가 높을수록 용질은 용매에 잘 녹는다(용매의 온도 증가) 용매의 양이 많을수록 용질이 많이 녹는다(용매의 양).,,1,1
28,4,설탕물의 농도 비교,"윤서는 설탕물을 마시고 싶어서 세 개의 컵에 같은 양의 물을 담고 각설탕을 각각 1개, 3개, 5개를 넣어 잘 저어주었습니다. 그런데 각설탕 5개를 넣은 컵에서는 각설탕이 다 녹지 않고 여전히 남아 있는 것을 발견하였습니다. 각각의 컵에 있는 설탕물의 진하기를 비교하려면 맛보기 외에 어떤 방법을 사용할 수 있을까요?","같은 양의 물에 설탕을 많이 녹일수록 밀도(비중)이 증가하게 되므로, 비중계를 활용하거나 물에 뜨는 여러 물질들을 넣어서 뜨는 정도를 비교해본다. 또는 설탕물을 가열하여 석출되는 정도를 비교할 수도 있다.",question/image/question_28.png,설탕물이 진할수록 바뀌게 되는 용액의 성질이 있습니다.,2020-08-06,같은 양의 물(용매)에 설탕(용질)을 많이 녹일수록 용액의 밀도가 증가한다.,,1,1
29,4,부풀어 오른 과자 봉지,준서는 산을 좋아하시는 아버지와 함께 주말마다 등산을 갑니다. 하루는 산 정상에서 먹으려고 과자를 들고 올라갔더니 봉지가 산 아래에 있을 때보다 더 부풀어 오른 것을 보았습니다. 왜 이런 현상이 생겼을까요? 과학적으로 설명해 볼까요?,산 정상에서 산 아래에 있을 때보다 과자 봉지가 더 부풀어 오른 것은 높이(고도)가 높아질수록 공기의 양이 적어져서 기압이 낮아지기 때문이다.,question/image/question_29.png,공기에도 무게가 있어요. 높은 곳에서는 이것이 희박해져요.,2020-08-06,산과 같은 높은 곳에서는 아래쪽에 비하여 기압이 낮다. 그 이유는 높은 곳에서는 공기의 양이 희박하기 때문이다.,,1,1
30,4,비행기 안 초코파이,준영이는 비행기에서 주는 식사의 양이 너무 적어 기내에서 먹을 초코파이를 준비했습니다. 비행기가 이륙하고 난 뒤에 초코파이를 꺼내 보니 초코파이 봉지가 빵빵하게 부풀어 있었습니다. 비행기가 이륙하고 난 뒤에 초코파이 봉지가 부풀어 오르는 이유를 과학적으로 설명해 볼까요?,비행기가 이륙하고 난 뒤 초코파이 봉지가 부풀어 오른 것은 비행기의 높이(고도)가 높아질수록 공기의 양이 적어져서 기압이 낮아지기 때문이다.,question/image/question_30.png,공기에도 무게가 있어요. 고도가 높은 곳에서는 이것이 희박해져요. ,2020-08-06,비행기가 날고 있는 높은 곳은 낮은 곳에 비하여 기압이 낮다. 높은 곳은 낮은 곳에 비해 공기의 양이 적다.,,1,1
31,4,찌그러진 페트병,종현이는 음료수를 거의 다 마시고 나서 플라스틱 병의 뚜껑을 닫고 냉장고에 넣어두었습니다. 나중에 냉장고를 열어 보니 플라스틱 병이 약간 찌그러져 있었습니다. 아무런 힘을 가하지 않았는데 왜 병이 찌그러지게 되었을까요? 과학적 원리를 적용하여 설명해 볼까요?,"음료수 페트병을 냉장고에 넣으면, 페트병 안의 기체의 온도가 낮아진다. 기체의 온도가 낮아지면 부피가 줄어들게 된다. 그러므로 플라스틱 병이 찌그러진다.",question/image/question_31.png,기체의 온도와 부피의 관계를 생각해봅시다.,2020-08-06,기체의 온도가 낮아지면 부피가 줄어든다.,,1,1
